method,dataset,param,sq_error_long,sq_error_lat,sq_error_combined,score
k-anonymity,Training,3,100,100,100,0.0
k-anonymity,Training,5,99.98901,99.99189,99.98802,0.0001505
k-anonymity,Training,9,99.85265,99.85422,99.82697,0.0002057
k-anonymity,Training,12,95.32506,94.23451,95.51191,0.06139
k-anonymity,Training,15,96.69966,96.06489,95.35504,0.04803
k-anonymity,Validation,3,5.58085,4.85261,4.98212,0.95252
k-anonymity,Validation,5,2.3784,1.53264,1.8271,0.93889
k-anonymity,Validation,9,2.3784,1.53264,1.8271,0.93889
k-anonymity,Validation,12,0,0,0,1.0
k-anonymity,Validation,15,0,0,0,1.0
differential,Training,0.1,0,0,0,-406.88
differential,Training,1,4.59547,3.48789,3.99299,-335.65
differential,Training,1.25,7.20921,5.45974,6.24321,-298.44
differential,Training,1.5,6.03856,4.58082,5.24469,-262.63
differential,Training,2,4.98014,3.78858,4.2769,-211.45
differential,Validation,0.1,0,0,0,-22.67
differential,Validation,1,0,0,0,-19.16
differential,Validation,1.25,0,0,0,-17.36
differential,Validation,1.5,0,0,0,-15.22
differential,Validation,2,0,0,0,-12.21
